Date,Open,High,Low,Close,Volume,AdjClose
2004-08-11,53.8406,53.8406,52.3576,52.9683,62800,41.9485
2004-08-10,53.2106,53.9375,53.2106,53.8406,57300,42.6394
2004-08-09,53.7921,53.889,52.7259,53.1621,71500,42.102
2004-08-06,54.1798,54.519,53.5498,53.5983,62300,42.4475
2004-08-05,55.3429,55.9244,54.9067,54.9552,62200,43.5221
2004-08-04,55.4398,55.6336,54.6644,55.3429,49900,43.8291
2004-08-03,56.2152,56.3121,55.779,56.0213,47200,44.3664
2004-08-02,56.1183,56.1279,55.5852,56.0698,52800,44.4048
2004-07-30,56.2152,56.7967,55.779,56.4769,56500,44.7272
2004-07-29,54.0829,56.0213,53.889,55.9729,67700,44.328
2004-07-28,53.5013,53.889,52.7744,52.8229,50500,41.8334
2004-07-27,52.5321,53.2881,52.3383,53.2881,44500,42.2018
2004-07-26,53.1136,53.4044,52.1444,52.2413,108800,41.3728
2004-07-23,53.5498,54.0829,53.0167,53.1621,44800,42.102
2004-07-22,53.7921,53.986,53.3559,53.6952,51400,42.5242
2004-07-21,54.4706,55.2944,54.4706,54.6644,71300,43.2918
2004-07-20,53.0652,53.9375,52.6775,53.8406,45700,42.6394
2004-07-19,53.5983,54.015,53.0167,53.0652,57800,42.0253
2004-07-16,53.889,54.4706,53.5013,53.5013,42000,42.3706
2004-07-15,54.8582,54.8582,53.6952,53.986,49100,42.7545
2004-07-14,54.2767,54.9842,54.0829,54.9552,26300,43.5221
2004-07-13,54.7613,55.2266,53.9375,55.0036,44000,43.5604
2004-07-12,54.1798,54.4996,54.0538,54.2767,31500,42.9847
2004-07-09,54.3736,55.1975,54.2089,54.4221,40900,43.0999
2004-07-08,54.5675,55.0812,54.3543,54.8582,37700,43.4453
2004-07-07,55.149,55.6336,54.4512,55.3235,62000,43.8137
2004-07-06,56.1183,56.1183,55.0036,55.1006,38500,43.6372
2004-07-05,55.8275,56.3315,55.5367,55.8275,30600,44.2129
2004-07-02,56.409,56.6998,55.779,56.0213,37500,44.3664
2004-07-01,57.7175,58.1536,56.3412,56.5059,79400,44.7502
2004-06-30,57.1844,57.669,57.1844,57.2329,46100,45.3259
2004-06-29,57.0875,57.4752,56.6513,57.1359,40900,45.2491
2004-06-28,56.3121,57.3492,56.1183,57.2813,57400,45.3642
2004-06-25,56.1183,56.4381,55.5852,56.2636,75700,44.5583
2004-06-24,55.2459,56.3121,55.2459,56.1667,65600,44.4815
2004-06-23,54.4221,55.0521,54.2282,55.0521,50000,43.5988
2004-06-22,55.1006,55.2459,53.5983,54.1313,59700,42.8696
2004-06-21,56.0213,56.409,55.0521,55.1975,46000,43.714
2004-06-18,55.5367,55.8856,55.0521,55.6821,43900,44.0977
2004-06-17,56.3121,56.7482,55.5755,55.8275,52800,44.2129
2004-06-16,56.8936,56.8936,56.1667,56.2152,42100,44.5199
2004-06-15,55.9244,56.7482,55.5367,56.7482,36900,44.942
2004-06-14,57.1844,57.3298,56.0213,56.2152,44600,44.5199
2004-06-11,57.039,57.8629,56.7482,57.4267,32100,45.4794
2004-06-10,57.2813,57.4752,56.7967,57.4752,15700,45.5178
2004-06-09,58.2505,58.4929,57.2329,57.2813,48600,45.3642
2004-06-08,58.1052,58.2505,57.7175,58.2021,47800,46.0935
2004-06-07,57.1844,57.9598,57.1844,57.8629,60800,45.8248
2004-06-04,55.9729,56.8452,55.8275,56.8452,37300,45.0189
2004-06-03,55.8275,56.0213,55.1684,55.9729,53900,44.328
2004-06-02,55.5367,56.5059,55.5173,56.0213,35100,44.3664
2004-06-01,56.409,56.409,55.1975,55.3913,44100,43.8674
2004-05-31,56.0213,56.409,56.0213,56.3605,1200,44.635
2004-05-28,56.6998,56.6998,55.8759,55.9729,32300,44.328
2004-05-27,56.3605,56.7773,56.2152,56.2152,46200,44.5199
2004-05-26,56.3121,56.3605,55.8759,56.2152,39900,44.5199
2004-05-25,55.7305,55.7305,54.8873,55.653,47100,44.0747
2004-05-24,55.7305,56.7192,55.6821,56.0698,66900,44.4048
2004-05-21,55.5367,55.8759,54.9067,55.2944,53200,43.7907
2004-05-20,55.0521,55.3429,54.5675,55.0036,7800,43.5604
2004-05-19,55.0521,55.8953,54.8098,55.8275,63400,44.2129
2004-05-18,53.3075,54.3058,53.3075,54.2767,73300,42.9847
2004-05-17,53.5013,53.5013,52.629,53.133,132500,42.079
2004-05-14,55.2459,55.2944,54.0344,54.6159,59800,43.2534
2004-05-13,54.9552,55.5852,54.4706,55.3429,77600,43.8291
2004-05-12,56.2152,56.2636,54.519,54.6644,86400,43.2918
2004-05-11,56.0213,56.5059,55.7015,56.5059,88100,44.7502
2004-05-10,55.9244,56.1183,55.3913,55.9244,118500,44.2896
2004-05-07,57.1844,57.6205,56.4575,56.9906,91500,45.134
2004-05-06,58.9775,59.1228,56.9421,57.0196,101000,45.157
2004-05-05,59.4136,59.7819,59.0259,59.5105,30900,47.1297
2004-05-04,60.5767,60.5767,59.5105,59.5105,44500,47.1297
2004-05-03,57.9598,59.6075,57.9113,59.4136,76200,47.0529
2004-04-30,58.3475,59.2004,58.0082,58.1052,104100,46.0167
2004-04-29,59.7044,59.7044,58.4929,58.7352,132600,46.5157
2004-04-28,60.8675,61.4005,59.8982,60.1405,144900,47.6286
2004-04-27,62.8544,63.0967,62.1759,63.0967,98200,49.9698
2004-04-26,62.9998,63.7267,62.8059,62.9028,115400,49.8162
2004-04-23,62.8059,63.1936,62.6605,63.1936,154000,50.0465
2004-04-22,61.3521,62.2244,60.9159,62.2244,90500,49.279
2004-04-21,60.9644,61.5459,60.5282,61.2551,79200,48.5113
2004-04-20,60.6736,61.4781,60.6736,61.0613,61800,48.3578
2004-04-19,60.2859,60.5282,59.7528,60.3828,47800,47.8205
2004-04-16,59.0259,60.5282,59.0259,60.4313,52700,47.8589
2004-04-15,59.9952,60.6251,59.3652,59.4136,49300,47.0529
2004-04-14,60.8675,60.9159,59.4136,60.3828,83200,47.8205
2004-04-13,61.6913,61.9142,61.1582,61.1582,64100,48.4346
2004-04-08,61.0613,61.7882,60.5767,60.819,76800,48.1659
2004-04-07,60.189,61.5459,59.9952,60.4798,79300,47.8973
2004-04-06,61.3521,61.3521,59.3167,60.189,72000,47.667
2004-04-05,60.8675,61.449,60.3828,61.2551,87100,48.5113
2004-04-02,59.2198,60.819,58.5898,60.819,73300,48.1659
2004-04-01,58.6867,59.4136,57.669,59.2198,55600,46.8994
2004-03-31,58.8321,59.2198,58.0567,58.2505,53700,46.1318
2004-03-30,58.929,58.9775,58.1536,58.7933,52900,46.5617
2004-03-29,57.8629,58.9775,57.5721,58.8321,60500,46.5924
2004-03-26,58.4929,58.4929,57.4752,57.6205,60600,45.6329
2004-03-25,56.1183,57.8629,56.1183,57.8144,73100,45.7864
2004-03-24,55.7305,56.1183,54.6644,56.0213,121900,44.3664
2004-03-23,55.5367,56.6029,55.3913,55.5949,95500,44.0287
2004-03-22,56.6513,56.6513,55.3429,55.6821,178200,44.0977
2004-03-19,58.1536,58.2505,57.2813,57.3298,40400,45.4026
2004-03-18,58.8805,58.929,57.4267,57.6205,54700,45.6329
2004-03-17,57.3782,58.7836,56.8936,58.6382,85800,46.4388
2004-03-16,57.0875,57.669,56.5059,56.9421,134100,45.0956
2004-03-15,58.6382,58.8321,56.6029,56.9906,155100,45.134
2004-03-12,57.7659,59.0259,57.1844,58.8321,215300,46.5924
2004-03-11,59.0744,59.2198,57.7659,59.2198,315400,46.8994
2004-03-10,60.2859,60.4798,59.9467,60.1405,86900,47.6286
2004-03-09,61.2551,61.2551,60.3828,60.7705,67400,48.1275
2004-03-08,61.9336,61.9821,61.449,61.5459,53000,48.7416
2004-03-05,61.7398,62.079,61.0128,61.8367,47800,48.9719
2004-03-04,61.6428,61.9821,61.1582,61.9821,60400,49.0871
2004-03-03,61.9336,62.079,60.9644,61.3521,69600,48.5881
2004-03-02,61.6428,62.4667,61.3036,62.1468,83800,49.2175
2004-03-01,60.6736,61.0613,60.4798,61.0322,75600,48.3348
2004-02-27,61.0613,61.3521,60.1405,60.3828,45500,47.8205
2004-02-26,61.1582,61.2067,59.9952,61.0128,75800,48.3194
2004-02-25,60.2859,61.2067,59.8982,60.9159,99400,48.2427
2004-02-24,61.3521,61.6428,59.7044,60.1115,209100,47.6056
2004-02-23,62.709,63.0967,61.5944,61.7398,77400,48.8952
2004-02-20,64.0174,64.3082,62.7575,62.8059,93000,49.7395
2004-02-19,64.1628,65.1321,64.0659,64.4536,66900,51.0444
2004-02-18,64.8413,64.9382,64.1144,64.3082,64000,50.9292
2004-02-17,65.0351,65.0836,64.0659,64.9382,69400,51.4282
2004-02-16,64.1628,64.9576,63.9205,64.9576,68000,51.4435
2004-02-13,65.4228,65.6651,64.1628,64.2113,76700,50.8525
2004-02-12,65.762,66.1497,65.229,65.3259,93000,51.7352
2004-02-11,64.8413,65.7136,64.7928,65.5682,88300,51.9271
2004-02-10,63.8721,64.8413,63.5328,64.7444,75600,51.2747
2004-02-09,62.8059,63.8236,62.709,63.7267,75200,50.4687
2004-02-06,62.8059,62.9513,61.8852,62.5151,77200,49.5092
2004-02-05,61.5459,62.9998,61.5459,61.9336,95300,49.0487
2004-02-04,62.4182,62.8059,61.6428,62.2244,141800,49.279
2004-02-03,62.8059,63.2421,62.3698,62.9513,77100,49.8546
2004-02-02,63.1936,63.4359,62.079,63.3875,120700,50.2001
2004-01-30,63.8721,64.0659,62.6121,63.0482,102300,49.9314
2004-01-29,63.9205,64.3567,63.3875,63.5813,86400,50.3536
2004-01-28,63.4844,64.7444,63.2905,64.599,70300,51.1595
2004-01-27,64.6474,64.9867,63.8721,64.0659,121100,50.7373
2004-01-26,64.2598,64.3567,63.2421,63.5813,103500,50.3536
2004-01-23,64.9382,65.0351,64.1628,64.1628,162900,50.8141
2004-01-22,66.6828,66.7797,65.3259,65.9365,104000,52.2188
2004-01-21,65.3744,65.8105,64.0659,65.229,107400,51.6585
2004-01-20,66.2951,66.3436,65.3259,65.5198,96500,51.8888
2004-01-19,66.5374,66.5374,65.4713,66.0625,105600,52.3186
2004-01-16,66.3921,66.6828,65.859,66.2951,97000,52.5028
2004-01-15,65.5198,66.3921,65.1321,66.2467,107900,52.4644
2004-01-14,65.0351,66.489,64.7928,66.1013,81600,52.3493
2004-01-13,65.6167,66.0044,64.9382,64.9382,75000,51.4282
2004-01-12,65.3259,65.6167,64.8413,65.1321,111000,51.5817
2004-01-09,65.9074,66.2467,64.7444,65.6167,171900,51.9655
2004-01-08,63.5813,65.762,63.4359,65.6167,209800,51.9655
2004-01-07,62.7575,63.3584,62.4182,63.2033,119100,50.0542
2004-01-06,62.2244,62.5636,61.8852,62.5151,79700,49.5092
2004-01-05,62.1274,62.1274,61.449,62.1274,110300,49.2021
2004-01-02,62.1274,62.1274,61.6428,62.079,81700,49.1638
2003-12-30,62.0305,62.3698,61.7398,61.8367,49400,48.9719
