Fecha		Ap	Pb   ENSO
18/04/1999        70.92              47.38880754      -0.9
19/04/1999        79.53              50.52604567      -0.9
20/04/1999       102.64              49.94813338      -0.9
21/04/1999        92.52              55.41766038      -0.9
22/04/1999       156.77              60.08223813      -0.9
23/04/1999        219.4              55.47957956      -0.9
24/04/1999       206.73              45.69635013      -0.9
25/04/1999       238.26              42.99254621      -0.9
26/04/1999       175.68              51.68187024      -0.9
27/04/1999       286.88              51.16587713      -0.9
28/04/1999       181.83               44.7469228      -0.9
29/04/1999       181.53              44.54052555      -0.9
30/04/1999       184.27              45.22163646      -0.9
01/05/1999       157.69              44.52903877      -0.9
02/05/1999       166.65                46.562422      -0.9
03/05/1999       117.31               49.7460018      -0.9
04/05/1999       128.95              60.05669252      -0.9
05/05/1999       107.43              47.21967719      -0.9
06/05/1999       113.73              53.87438593      -0.9
07/05/1999       113.81              51.88208115      -0.9
08/05/1999       114.05              48.47256988      -0.9
09/05/1999        134.3              48.47256988      -0.9
10/05/1999        131.4              56.03100451      -0.9
11/05/1999       174.09              63.07595852      -0.9
12/05/1999        184.4              59.48159423      -0.9
13/05/1999       193.87               57.2838972      -0.9
14/05/1999       171.32              51.63561046      -0.9
15/05/1999       157.94              49.15036429      -0.9
16/05/1999       127.24              52.45717944      -0.9
17/05/1999       101.27              50.75242381      -0.9
18/05/1999       100.48              53.29928765      -0.9
19/05/1999       139.26              52.84742471      -0.9
20/05/1999       131.92              55.47644545      -0.9
21/05/1999       145.06              59.99507484      -0.9
22/05/1999       135.76              58.16708386      -0.9
23/05/1999       150.15              48.47256988      -0.9
24/05/1999       102.32              53.03227773      -0.9
25/05/1999        87.83              54.57271957      -0.9
26/05/1999        73.28               62.8911055      -0.9
27/05/1999        81.76              54.77811181      -0.9
28/05/1999        78.77              52.60095401      -0.9
29/05/1999       117.74              57.01688729      -0.9
30/05/1999       129.63               51.0810514      -0.9
31/05/1999       110.65               52.2517872      -0.9
01/06/1999       120.55              58.35838309        -1
02/06/1999       165.75              71.98011871        -1
03/06/1999       102.02              68.68222482        -1
04/06/1999       171.78              55.53161691        -1
05/06/1999       197.35              55.71597122        -1
06/06/1999       129.31              53.27839748        -1
07/06/1999       127.92              55.77742266        -1
08/06/1999       127.53              56.41242086        -1
09/06/1999       142.65              60.16095863        -1
10/06/1999       138.07              58.19451259        -1
11/06/1999       171.04              56.53532374        -1
12/06/1999       159.96              59.44402518        -1
13/06/1999       133.13               57.4161277        -1
14/06/1999       123.94              52.64339928        -1
15/06/1999       123.19              55.73645504        -1
16/06/1999       120.24              56.04371223        -1
17/06/1999       124.01              56.35096942        -1
18/06/1999       141.76              55.75693885        -1
19/06/1999        103.2              53.19646223        -1
20/06/1999       168.51              54.97855396        -1
21/06/1999       330.31              53.09404317        -1
22/06/1999       164.23              55.14242446        -1
23/06/1999       164.71              53.44226799        -1
24/06/1999       146.13              65.99884532        -1
25/06/1999       128.31              55.71597122        -1
26/06/1999       127.69              60.85740827        -1
27/06/1999       200.61              52.64339928        -1
28/06/1999        215.9              57.80532014        -1
29/06/1999       119.36              60.05853957        -1
30/06/1999        108.7              56.53532374        -1
01/07/1999       143.04                61.182435        -1
02/07/1999       107.16              60.89653577        -1
03/07/1999       127.44              54.89265196        -1
04/07/1999       108.15              54.30043213        -1
05/07/1999        88.17              54.32085351        -1
06/07/1999        87.76              53.19767796        -1
07/07/1999        116.3              63.89847768        -1
08/07/1999       105.43              57.85375112        -1
09/07/1999        86.87               54.0962184        -1
10/07/1999         77.8              53.56526269        -1
11/07/1999         73.8              53.19767796        -1
12/07/1999        73.22              53.19767796        -1
13/07/1999        88.53              53.19767796        -1
14/07/1999        96.32              54.44338175        -1
15/07/1999        86.28              53.60610543        -1
16/07/1999       108.93              68.20738748        -1
17/07/1999        86.03              63.44920746        -1
18/07/1999         98.6              63.98016317        -1
19/07/1999        90.99              63.89847768        -1
20/07/1999       116.24              61.28454187        -1
21/07/1999       128.77               67.6560104        -1
22/07/1999        89.95               68.2686516        -1
23/07/1999       109.76              63.22457235        -1
24/07/1999        88.77              59.75293886        -1
25/07/1999        95.95              56.52636184        -1
26/07/1999       109.82              61.83591895        -1
27/07/1999       140.57              62.79572351        -1
28/07/1999       111.73              60.14094495        -1
29/07/1999       162.78              60.63105792        -1
30/07/1999       123.72              57.28195266        -1
31/07/1999       164.78              57.64953739        -1
01/08/1999       150.62              59.23092774      -1.1
02/08/1999        98.43              60.63296343      -1.1
03/08/1999        90.33              61.87244425      -1.1
04/08/1999       107.21              61.44573773      -1.1
05/08/1999        74.81              62.03499911      -1.1
06/08/1999        82.72              62.60394112      -1.1
07/08/1999       111.55              60.45008921      -1.1
08/08/1999       139.25              61.32382159      -1.1
09/08/1999       124.27              64.98130598      -1.1
10/08/1999       112.18              65.34705442      -1.1
11/08/1999        91.95              63.41671543      -1.1
12/08/1999        99.05              65.08290277      -1.1
13/08/1999       121.48              65.57056735      -1.1
14/08/1999       151.52               62.1365959      -1.1
15/08/1999       174.33              61.79116682      -1.1
16/08/1999        95.58              62.29915076      -1.1
17/08/1999        96.37              67.21643533      -1.1
18/08/1999        74.05              67.21643533      -1.1
19/08/1999        79.81              66.13950937      -1.1
20/08/1999        68.73              62.84777342      -1.1
21/08/1999         98.8              61.79116682      -1.1
22/08/1999        82.83              61.79116682      -1.1
23/08/1999        71.71              63.45735415      -1.1
24/08/1999        86.53              62.82745406      -1.1
25/08/1999        95.27              72.29627475      -1.1
26/08/1999        98.32              69.89859054      -1.1
27/08/1999        93.73              72.66202319      -1.1
28/08/1999       111.58              70.22370027      -1.1
29/08/1999        85.14              64.06693488      -1.1
30/08/1999       121.26              68.74038715      -1.1
31/08/1999        77.31              69.34996789      -1.1
01/09/1999        74.92              74.34036095      -1.1
02/09/1999        72.61              69.72319879      -1.1
03/09/1999        83.53               68.8321675      -1.1
04/09/1999       104.76              68.87266892      -1.1
05/09/1999       103.56              66.15907361      -1.1
06/09/1999        86.65              70.06746088      -1.1
07/09/1999          132              73.40882824      -1.1
08/09/1999       129.69              82.60265114      -1.1
09/09/1999        99.31              70.85723862      -1.1
10/09/1999       111.43              67.45511913      -1.1
11/09/1999       141.48              65.51105085      -1.1
12/09/1999       167.52              63.12146693      -1.1
13/09/1999       157.18              68.56890825      -1.1
14/09/1999       205.46              67.07035562      -1.1
15/09/1999       151.71              67.29311344      -1.1
16/09/1999       156.49              66.90834993      -1.1
17/09/1999        255.5              66.26032717      -1.1
18/09/1999       124.11              66.09832148      -1.1
19/09/1999        118.6               63.7897404      -1.1
20/09/1999       105.61              67.09060633      -1.1
21/09/1999       111.57              66.96910206      -1.1
22/09/1999       171.93              66.03756935      -1.1
23/09/1999       144.56              67.11085704      -1.1
24/09/1999       115.91              66.01731863      -1.1
25/09/1999       112.97              65.65280583      -1.1
26/09/1999       107.91              63.12146693      -1.1
27/09/1999       155.32              68.99417319      -1.1
28/09/1999       158.95               71.5457628      -1.1
29/09/1999       144.52              68.06264047      -1.1
30/09/1999       110.75              68.48790541      -1.1
01/10/1999       155.57              64.42262626      -1.3
02/10/1999       109.37              65.16937976      -1.3
03/10/1999       175.18              62.38419103      -1.3
04/10/1999       255.94              69.73063087      -1.3
05/10/1999       213.21              70.63884459      -1.3
06/10/1999       206.88              63.73642034      -1.3
07/10/1999       184.51              67.49037037      -1.3
08/10/1999       164.01              64.98773702      -1.3
09/10/1999       137.87              66.21887117      -1.3
10/10/1999       143.48              62.16218324      -1.3
11/10/1999       182.86              65.91613326      -1.3
12/10/1999       149.91              74.04969165      -1.3
13/10/1999       120.44              65.83540315      -1.3
14/10/1999       109.42              70.41683679      -1.3
15/10/1999       142.01              65.73449052      -1.3
16/10/1999       139.22              65.97668084      -1.3
17/10/1999       104.14              60.70904129      -1.3
18/10/1999       129.52               62.2832784      -1.3
19/10/1999        109.3              65.89595074      -1.3
20/10/1999       116.88              65.45193514      -1.3
21/10/1999       124.97              67.61146553      -1.3
22/10/1999       145.94              65.47211767      -1.3
23/10/1999       175.42              63.29240475      -1.3
24/10/1999       163.77              63.85751551      -1.3
25/10/1999       193.27              67.26836257      -1.3
