dia           fecha             y
JUEVES        30/05/02          6182
VIERNES       31/05/02          5876
SABADO        01/06/02          3821
DOMINGO       02/06/02          1003
LUNES         03/06/02          1126
MARTES        04/06/02          7803
MIÉRCOLES     05/06/02          6527
JUEVES        06/06/02          5416
VIERNES       07/06/02          4520
SÁBADO        08/06/02          2531
DOMINGO       09/06/02          678
LUNES         10/06/02          820
MARTES        11/06/02          5092
MIÉRCOLES     12/06/02          4788
JUEVES        13/06/02          4707
VIERNES       14/06/02         12514
SÁBADO        15/06/02          3697
DOMINGO       16/06/02          1011
LUNES         17/06/02         10130
MARTES        18/06/02          6399
MIÉRCOLES     19/06/02          4724
JUEVES        20/06/02          4965
VIERNES       21/06/02          5114
SÁBADO        22/06/02          2362
DOMINGO       23/06/02          761
LUNES         24/06/02          5042
MARTES        25/06/02          5092
MIÉRCOLES     26/06/02          5204
JUEVES        27/06/02         11936
VIERNES       28/06/02          5865
SÁBADO        29/06/02          3130
DOMINGO       30/06/02          856
LUNES         01/07/02          972
MARTES        02/07/02          8935
MIÉRCOLES     03/07/02          6308
JUEVES        04/07/02          5297
VIERNES       05/07/02          5203
SÁBADO        06/07/02          2359
DOMINGO       07/07/02          674
LUNES         08/07/02          5397
MARTES        09/07/02          4875
MIÉRCOLES     10/07/02          4630
JUEVES        11/07/02          4389
VIERNES       12/07/02          4806
SÁBADO        13/07/02          2488
DOMINGO       14/07/02          894
LUNES         15/07/02          6105
MARTES        16/07/02          6709
MIÉRCOLES     17/07/02          5245
JUEVES        18/07/02          4655
VIERNES       19/07/02          4719
SÁBADO        20/07/02          1258
DOMINGO       21/07/02          774
LUNES         22/07/02          5242
MARTES        23/07/02          4956
MIÉRCOLES     24/07/02          4669
JUEVES        25/07/02          4480
VIERNES       26/07/02          4791
SÁBADO        27/07/02          2250
DOMINGO       28/07/02          861
LUNES         29/07/02          5188
MARTES        30/07/02          5892
MIÉRCOLES     31/07/02          5518
JUEVES        01/08/02          5249
VIERNES       02/08/02          7309
SÁBADO        03/08/02          2507
DOMINGO       04/08/02          774
LUNES         05/08/02          5237
MARTES        06/08/02          5084
MIÉRCOLES     07/08/02          978
JUEVES        08/08/02          5548
VIERNES       09/08/02          4776
SÁBADO        10/08/02          2468
DOMINGO       11/08/02          694
LUNES         12/08/02          4801
MARTES        13/08/02          4777
MIÉRCOLES     14/08/02          4916
JUEVES        15/08/02          5688
VIERNES       16/08/02          5162
SÁBADO        17/08/02          2715
DOMINGO       18/08/02          623
LUNES         19/08/02          861
MARTES        20/08/02          6008
MIÉRCOLES     21/08/02          5211
JUEVES        22/08/02          4804
VIERNES       23/08/02          4328
SÁBADO        24/08/02          2701
DOMINGO       25/08/02          740
LUNES         26/08/02          6500
MARTES        27/08/02          6620
MIÉRCOLES     28/08/02          4677
JUEVES        29/08/02          4537
VIERNES       30/08/02          5289
SÁBADO        31/08/02          2878
DOMINGO       01/09/02          849
LUNES         02/09/02          6167
MARTES        03/09/02          6241
MIÉRCOLES     04/09/02          4754
JUEVES        05/09/02          4339
VIERNES       06/09/02          5276
SÁBADO        07/09/02          2249
DOMINGO       08/09/02          807
LUNES         09/09/02          4947
MARTES        10/09/02          5099
MIÉRCOLES     11/09/02          5041
JUEVES        12/09/02          4693
VIERNES       13/09/02          5341
SÁBADO        14/09/02          3172
DOMINGO       15/09/02          887
LUNES         16/09/02          5548
MARTES        17/09/02          5368
MIÉRCOLES     18/09/02          4852
JUEVES        19/09/02          4404
VIERNES       20/09/02          4549
SÁBADO        21/09/02          2289
DOMINGO       22/09/02          666
LUNES         23/09/02          4692
MARTES        24/09/02          4286
MIÉRCOLES     25/09/02          4238
JUEVES        26/09/02          4584
VIERNES       27/09/02          6146
SÁBADO        28/09/02          2568
DOMINGO       29/09/02          1074
LUNES         30/09/02          8350
DOMINGO       01/09/02          849
LUNES         02/09/02          6167
MARTES        03/09/02          6241
MIÉRCOLES     04/09/02          4754
JUEVES        05/09/02          4339
VIERNES       06/09/02          5276
SÁBADO        07/09/02          2249
DOMINGO       08/09/02          807
LUNES         09/09/02          4947
MARTES        10/09/02          5099
MIÉRCOLES     11/09/02          5041
JUEVES        12/09/02          4693
VIERNES       13/09/02          5341
SÁBADO        14/09/02          3172
DOMINGO       15/09/02          887
LUNES         16/09/02          5548
MARTES        17/09/02          5368
MIÉRCOLES     18/09/02          4852
JUEVES        19/09/02          4404
VIERNES       20/09/02          4549
SÁBADO        21/09/02          2289
DOMINGO       22/09/02          666
LUNES         23/09/02          4692
MARTES        24/09/02          4286
MIÉRCOLES     25/09/02          4238
JUEVES        26/09/02          4584
VIERNES       27/09/02          6146
SÁBADO        28/09/02          2568
DOMINGO       29/09/02          1074
LUNES         30/09/02          8350
MARTES        01/10/02          5944
MIERCOLES     02/10/02          5630
JUEVES        03/10/02          5101
VIERNES       04/10/02          5220
SÁBADO        05/10/02          2667
DOMINGO       06/10/02          1011
LUNES         07/10/02          4974
MARTES        08/10/02          5072
MIÉRCOLES     09/10/02          4331
JUEVES        10/10/02          2145
VIERNES       11/10/02          9492
SÁBADO        12/10/02          2857
DOMINGO       13/10/02          958
LUNES         14/10/02          1093
MARTES        15/10/02          6734
MIÉRCOLES     16/10/02          6078
JUEVES        17/10/02          9497
VIERNES       18/10/02          5202
SÁBADO        19/10/02          2770
DOMINGO       20/10/02          940
LUNES         21/10/02          5333
MARTES        22/10/02          4910
MIÉRCOLES     23/10/02          4668
JUEVES        24/10/02          4701
VIERNES       25/10/02          6111
SÁBADO        26/10/02          2938
DOMINGO       27/10/02          1061
LUNES         28/10/02          7032
MARTES        29/10/02          7360
MIÉRCOLES     30/10/02          8009
JUEVES        31/10/02          6983
VIERNES       01/11/02          7754
SABADO        02/11/02          3928
DOMINGO       03/11/02          1172
LUNES         04/11/02          1350
MARTES        05/11/02          7787
MIÉRCOLES     06/11/02          8962
JUEVES        07/11/02          6707
VIERNES       08/11/02          6419
SÁBADO        09/11/02          3716
DOMINGO       10/11/02          1045
LUNES         11/11/02          1401
MARTES        12/11/02          6855
MIÉRCOLES     13/11/02          6151
JUEVES        14/11/02          6666
VIERNES       15/11/02          9464
SÁBADO        16/11/02          4535
DOMINGO       17/11/02          1494
LUNES         18/11/02          7137
MARTES        19/11/02          6741
MIÉRCOLES     20/11/02          6853
JUEVES        21/11/02          6213
VIERNES       22/11/02          6438
SÁBADO        23/11/02          3819
DOMINGO       24/11/02          1329
LUNES         25/11/02          6823
MARTES        26/11/02          6120
MIÉRCOLES     27/11/02          6178
JUEVES        28/11/02          6545
VIERNES       29/11/02          8147
SÁBADO        30/11/02          4931
DOMINGO       01/12/02          1943
LUNES         02/12/02          8209
MARTES        03/12/02          7219
MIERCOLES     04/12/02          6660
JUEVES        05/12/02          5762
VIERNES       06/12/02          5382
SÁBADO        07/12/02          2429
DOMINGO       08/12/02          964
LUNES         09/12/02          5256
MARTES        10/12/02          5042
MIÉRCOLES     11/12/02          4537
JUEVES        12/12/02          4873
VIERNES       13/12/02          5536
SÁBADO        14/12/02          3232
DOMINGO       15/12/02          1153
LUNES         16/12/02          7447
MARTES        17/12/02          7125
MIÉRCOLES     18/12/02          5414
JUEVES        19/12/02          5515
